catid,ucatid,pcatid,low_pic,category_name.en_US,category_description.en_US,category_name.de_DE,category_description.de_DE,category_name.fr_FR,category_description.fr_FR,parentKey
2,43160000,2833,,software,"Instructions for a computer's processor to perform specific operations e.g. system software such as Windows and iOS, application software such as internet browsers and apps.",Software,,logiciels,,43000000
4,43161501,55,http://images.icecat.biz/img/low_pic/4-5517.jpg,database software,A lot of applications use large complicated databases for storing information. The software in this category has been designed to make building and managing these databases fast and easy.,Datenbank-Software,"Eine Vielzahl von Anwendungen verwenden große komplizierte Datenbanken zur Speicherung von Informationen. Die Software in dieser Kategorie ist entworfen worden, um den Aufbau und die Verwaltung dieser Datenbanken schnell und einfach zu machen.",logiciels de bases de données,,43233400
7,43233004,2,http://images.icecat.biz/img/low_pic/7-3748.jpg,operating systems,"The operating system is the program that gets started first when you switch on your computer or server. All other applications depend on it for correct operation. Some examples of popular operating systems are Microsoft Windows, Mac OS and Linux.",Betriebssysteme,"Das Betriebssystem ist das Programm, das als erstes gestartet wird, wenn Sie Ihren Computerserver einschalten. Alle anderen Anwendungen sind von ihm abhängig, um korrekt zu funktionieren. Beispiele für gängige Betriebssysteme sind Microsoft Windows, Mac OS und Linux.",systèmes d'exploitation,,43160000
12,43161704,2,http://images.icecat.biz/img/low_pic/12-6685.jpg,office suites,"Set of computer programs used for work/business including a word processor, spreadsheet and presentation program. An example of an office suite is Microsoft Office.",Office-Pakete,,logiciels office,,43160000
14,43161706,2843,,financial analysis software,Computer programs that can be used for financial analysis.,Finanzanalyse Software,,logiciels d'analyse financiere,,43231600
15,43161707,2843,http://images.icecat.biz/img/low_pic/15-522.jpg,accounting software,Computer programs that can be used for accounting purposes.,Buchhaltungs-Software,,logiciels de comptabilité,,43231600
21,43232100,2,,multimedia software,"Computer programs that allow information to be presented in various formats, such as text, audio and video.",Multimedia-Software,,logiciels de multimédia,,43160000
24,43161803,21,,Optical Character Recognition (OCR) software,Optical character reader (OCR) software.,OCR Software,Optical Character Reader (OCR)-Software.,logiciels de reconnaissance optique de caractères  (ROC),Logiciel du lecteur optique (ROC).,43232100
25,43161804,21,,voice recognition software,"Computer programs that can understand the spoken words of the user. The software can do various things with the speech, such as convert it into text or use it to perform an internet search.",Spracherkennungs-Software,,logiciels de reconnaissance vocale,,43232100
26,43161805,2,,desktop publishing software,"Computer programs where the layout, contents and typography of the document can be changed by the user so a professional-looking document can be present or published.",Desktop-Publishingsoftware,,logiciels d'édition bureautique,,43160000
27,43161806,2,,presentation software,Computer programs where a slide show or other presentation can be created and presented e.g. PowerPoint,Präsentations-Software,,logiciels de présentation,,43160000
28,43161807,2,,word processors,"Computer programs which allow a user to compose, edit, format and print written material such a letter or report. A common example of a word processor is Microsoft Word.",Textverarbeitung,,logiciels de traitement de texte,,43160000
31,43161901,21,,Computer Aided Design (CAD) software,"Computer programs which allow a user to create, modify and analyse a design.",Computer Aided Design (CAD) Software,,logiciels de conception assistée par ordinateur (CAO),,43232100
32,43161902,21,http://images.icecat.biz/img/low_pic/32-2247.jpg,graphics software,Computer programs which allow a user to edit static or moving images e.g. Adobe Photoshop.,Graphik Software,,logiciels de création graphiques et photos,,43232100
38,43162001,2,http://images.icecat.biz/img/low_pic/38-4588.jpg,project management software,"Computer programs which alow a user to plan, organize and manage resources.",Projektmanagement-Software,,logiciels de gestion de projet,,43160000
42,43162101,2,,spreadsheet software,"Computer programs which allow a user to organize and analyse data in a table, and create graphs and graphics. A common example is Microsoft Excel.",Tabellenkalkulations-Software,,logiciels de feuilles de calcul,,43160000
44,43162201,21,http://images.icecat.biz/img/low_pic/44-4065.jpg,audio editing software,"Computer programs that allow audio content (e.g. music, voice recordings) to be edited.",Musik/Audio Software,,logiciels audio et musique,,43232100
47,43162302,21,,labeling software,Computer programs which allow users to create and print labels for products etc.,Beschriftungs-Software,,logiciels d'édition d'étiquettes,,43232100
51,43162403,55,http://images.icecat.biz/img/low_pic/51-5462.jpg,development software,"Development software or a programming tool is a program or application that software developers use to create, debug, or maintain other programs and applications.",Entwicklungs-Software,"Development Software oder ein ""Programmier-Tool"" ist ein Programm oder eine Anwendung, welche Software-Entwickler nutzen, um Programme oder Anwendungen zu entwickeln, zu pflegen und um Programmfehler zu bereinigen.",logiciels de développement,,43233400
55,43233400,2,,computer utilities,"Computer programs that help your computer to perform better e.g. anti-virus software, disk repair software, file management software.",PC Dienstprogramme,,utilitaires PC,,43160000
56,43162501,55,http://images.icecat.biz/img/low_pic/56-1590.jpg,backup recovery software,"Computer programs which store a ""backup"" (another copy) of your data in case the software/computer closes or crashes unexpectedly.",Backup-Recovery-Software,"Wenn Sie oder Ihr Unternehmen wichtige Daten gespeichert haben, stellen Sie sicher, dass Sie regelmäßig eine Sicherungskopie anfertigen. Stellen Sie sich einfach vor, was es bedeuten würde, eine ganz Woche Arbeit oder all Ihre Kundendaten zu verlieren: Festplatten und andere Speichermedien können und werden früher oder später abstürzen. Wählen Sie eine der Anwendungen aus diesem Bereich, und erstellen Sie Ihre Sicherungskopien schnell und einfach.",logiciels de sauvegarde ou de récupération de données,,43233400
57,43162502,55,,bar coding software,Computer programs which allow a user to create bar codes for products.,Barcode-Software,,logiciels codes barres,,43233400
